Rank,Name,State,2019_Population,2010_Census,Latitude,Longitude,avg_UV_index,elevation_in_ft,max_temp,wind_speed,humidity,cloudiness,port_city,superfund_sites
1,New York,New York,8601186,8175133,40.66,-73.94,5.12,12,77,3.36,46,1,TRUE,
2,Los Angeles,California,4057841,3792621,34.02,-118.41,6.56,25,69.01,3.36,68,1,TRUE,2
3,Chicago,Illinois,2679044,2695598,41.84,-87.68,4.94,179,68,6.93,100,90,TRUE,10
4,Houston,Texas,2359480,2099451,29.79,-95.39,7.8,16,84.2,11.41,74,20,TRUE,8
5,Phoenix,Arizona,1711356,1445632,33.57,-112.09,6.92,377,100.4,9.17,9,20,,2
6,Philadelphia,Pennsylvania,1576596,1526006,40.01,-75.13,5.22,32,73.99,4.7,53,1,TRUE,4
7,San Antonio,Texas,1565929,1327407,29.47,-98.53,7.98,230,84.2,13.87,66,1,,3
8,San Diego,California,1453775,1307402,32.82,-117.13,6.85,130,64.99,6.93,77,90,TRUE,
9,Dallas,Texas,1379735,1197816,32.79,-96.77,7.01,144,88,12.75,58,1,,2
10,San Jose,California,1033519,945942,37.3,-121.82,5.79,48,84.2,8.05,88,1,,2
11,Austin,Texas,1001104,790390,30.3,-97.75,7.7,175,82.99,12.75,74,1,,
12,Jacksonville,Florida,920984,821784,30.34,-81.66,7.66,1,80.6,3.36,88,1,TRUE,11
13,Fort Worth,Texas,913939,741206,32.78,-97.35,7.02,169,88,14.99,51,1,,2
14,San Francisco,California,897536,805235,37.73,-123.03,5.74,-3,59,12.75,82,75,TRUE,1
15,Columbus,Ohio,890228,787033,39.98,-82.98,5.39,249,78.8,6.76,100,1,,6
16,Charlotte,North Carolina,889019,731424,35.21,-80.83,6.47,213,73.4,3.36,72,1,,2
17,Indianapolis,Indiana,863771,820445,39.78,-86.15,5.39,221,69.8,4.7,100,75,,5
18,Seattle,Washington,766893,608660,47.62,-122.35,3.85,43,72,3,64,1,TRUE,4
19,Denver,Colorado,732144,600158,39.76,-104.88,5.86,1612,66.99,5.82,55,40,,5
20,"Washington, D. C.",District Of Columbia,713549,601723,38.9,-77.02,5.53,13,75.2,3.36,49,1,,
21,El Paso,Texas,696610,649121,31.85,-106.43,7.86,1185,89.6,6.93,9,1,,
22,Boston,Massachusetts,694784,617594,42.34,-71.02,4.71,2,71.01,17.22,59,62,TRUE,
23,Nashville,Tennessee,679318,601222,36.17,-86.79,6.22,125,79,6.93,65,1,,
24,Portland,Oregon,667589,583776,45.54,-122.65,4.17,50,84.99,14.99,74,40,TRUE,5
25,Las Vegas,Nevada,664304,583756,36.23,-115.26,6.54,713,98.6,8.05,13,1,,
26,Detroit,Michigan,662172,713777,42.38,-83.1,4.8,194,68,8.05,93,90,TRUE,1
27,Oklahoma City,Oklahoma,661614,579999,35.47,-97.51,6.44,374,82.99,6.93,78,1,,5
28,Memphis,Tennessee,647506,646889,35.1,-89.98,6.42,95,82.99,17.22,69,75,TRUE,5
29,Louisville,Kentucky,620800,597337,38.17,-85.65,5.72,158,80.6,11.41,54,90,,2
30,Baltimore,Maryland,594450,620961,39.3,-76.61,5.41,13,75.2,10.29,60,1,TRUE,3
31,Milwaukee,Wisconsin,581949,594833,43.06,-87.97,4.65,220,57.2,3.36,87,90,TRUE,3
32,Albuquerque,New Mexico,564764,545852,35.1,-106.65,7.06,1512,78.8,13.87,27,75,,3
33,Tucson,Arizona,537501,520116,32.15,-110.87,7.48,824,91.99,6.62,8,1,,1
34,Fresno,California,532703,494665,36.78,-119.79,5.98,95,89.6,10.29,35,1,,3
35,Sacramento,California,513330,466488,38.57,-121.47,5.51,7,78.01,12.75,53,1,TRUE,2
36,Mesa,Arizona,503619,439041,33.4,-111.72,6.99,402,100.4,5.39,11,1,,
37,Atlanta,Georgia,501178,420003,33.76,-84.42,6.82,300,77,5.82,65,1,,
38,Kansas City,Missouri,501094,459787,39.13,-94.55,5.53,220,78.8,8.05,83,1,,1
39,Colorado Springs,Colorado,493799,416427,38.87,-104.76,6.31,1933,62.6,5.82,81,1,,
40,Miami,Florida,491724,399457,25.78,-80.21,8.95,0,82.99,4.76,78,90,TRUE,6
41,Raleigh,North Carolina,485679,403892,35.83,-78.64,6.26,80,71.6,8.05,53,20,,2
42,Long Beach,California,466203,462257,33.81,-118.16,6.59,18,82.4,6.93,78,40,,
43,Virginia Beach,Virginia,454846,437994,36.78,-76.03,6.02,5,73.99,13.87,69,1,,1
44,Omaha,Nebraska,452061,408958,41.26,-96.05,5.18,354,78.8,6.93,60,1,,2
45,Oakland,California,426410,390724,37.77,-122.23,5.72,5,59,14.99,82,90,TRUE,2
