State_code,State, FIPS,bladder_count,bladder_rate,brain_count,brain_rate,breast_count,breast_rate,cervix_count,cervix_rate,child_less_15_count,child_less_15_rate,colon_rectum_count,colon_rectum_rate,esophagus_count,esophagus_rate,kidney_count,kidney_rate,leukemia_count,leukemia_rate,liver_count,liver_rate,lung_count,lung_rate,non_HodgkinL_count,non_HodgkinL_rate,oral_pharynx_count,oral_pharynx_rate,ovary_count,ovary_rate,pancreas_count,pancreas_rate,prostate_count,prostate_rate,melanoma_count,melanoma_rate,stomach_count,stomach_rate,thyroid_count,thyroid_rate,uterus_count,uterus_rate,breast_insitu_count,breast_insitu_rate,child_less_20_count,child_less_20_rate
USA,United States,0,73067,19.5,22328,6.4,242476,124.8,12845,7.6,10150,16.6,140789,38,17281,4.5,61816,16.6,46911,13.1,32906,8.3,218510,57.5,67510,18.4,44430,11.6,21429,11,48241,12.8,183524,99.1,80440,22.1,23695,6.4,48761,14.5,54644,26.8,56671,29.6,15110,18.3
AL,Alabama,1000,1076,18.1,342,6.3,3813,123.3,237,9.4,150,16.5,2493,42.7,292,4.7,1050,17.9,674,12,469,7.6,3901,63.6,931,16.1,783,13.2,344,11.2,765,12.9,3416,118.7,1261,22.4,377,6.4,520,9.9,630,19.9,804,26.4,224,18.2
AK,Alaska,2900,144,24.1,51,7.1,426,122,29,8.2,23,14.2,294,42.5,32,4.8,136,19,72,10.9,61,7.7,351,53.5,122,17.8,80,11,36,9.3,67,10,228,61,79,12.1,58,9,74,9.9,86,24,103,28.8,32,15.3
AZ,Arizona,4000,1566,18.5,432,5.7,4619,110.9,241,7.3,246,18.3,2583,31.8,337,3.9,1238,15.4,864,11.3,673,7.8,3975,46.5,1189,14.8,757,9.2,411,9.9,932,11,3239,78,1879,23.3,412,5.1,955,13.5,1007,23.6,990,24.3,347,19.2
AR,Arkansas,5000,667,18.2,210,6.2,2168,117.1,162,10.4,92,15.7,1582,45,157,4.2,680,19.2,475,13.6,271,7.2,2897,77.3,609,16.9,510,13.9,216,12,433,11.8,2070,115,770,22.3,244,6.7,426,13.7,449,23.8,508,27.6,131,16.7
CA,California,6000,6696,16.2,2377,5.9,26731,121.4,1426,7.1,1312,17.3,14609,35,1482,3.5,6234,14.9,4790,11.8,4260,9.7,16920,41,7469,18.1,4390,10.3,2531,11.5,4861,11.6,17655,87.1,9549,22.9,2970,7.2,5393,13.3,5888,25.8,6126,27.8,1931,18.9
CO,Colorado,8000,980,17.3,384,6.8,3741,123.4,177,6.3,159,15.2,1892,32.9,260,4.4,809,13.8,686,12.1,460,7.3,2311,40.5,982,17.1,689,11.2,302,9.8,613,10.4,2459,81.6,1239,21.2,307,5.4,819,14.3,685,20.9,804,26.4,237,17
CT,Connecticut,9000,1156,25.8,300,7.2,3322,143.9,121,6,101,16.4,1578,35.3,227,4.9,704,16.1,534,12.5,400,8.3,2580,57.2,968,21.9,562,12.2,293,12.2,629,13.8,2380,108.8,883,20.6,343,7.8,704,17.9,724,29.3,958,43,149,17.1
DE,Delaware,10000,300,24.6,58,5.1,840,136.2,39,8.3,31,18.3,457,39.4,64,5.3,205,16.5,147,12.7,99,7.7,884,71.8,234,19.3,161,13.1,56,8.9,181,14.8,751,124.5,346,29.5,84,7.2,144,14.2,208,32.4,225,36.6,45,19.6
DC,District of Columbia,11001,71,11.1,19,2.6,414,121.1,33,8.9,16,14.9,202,31,26,4,70,10.1,46,7.3,90,12.8,277,42.5,80,12.7,68,10.1,45,12.5,111,17.2,299,103.2,52,7.8,53,8.1,85,12.1,97,26.9,131,38.7,25,17.3
