State_code,State, FIPS,bladder_count,bladder_rate,brain_count,brain_rate,breast_count,breast_rate,cervix_count,cervix_rate,child_less_15_count,child_less_15_rate,colon_rectum_count,colon_rectum_rate,esophagus_count,esophagus_rate,kidney_count,kidney_rate,leukemia_count,leukemia_rate,liver_count,liver_rate,lung_count,lung_rate,non_HodgkinL_count,non_HodgkinL_rate,oral_pharynx_count,oral_pharynx_rate,ovary_count,ovary_rate,pancreas_count,pancreas_rate,prostate_count,prostate_rate,melanoma_count,melanoma_rate,stomach_count,stomach_rate,thyroid_count,thyroid_rate,uterus_count,uterus_rate
USA,United States,0,16254,4.4,16268,4.4,41523,20.3,4175,2.3,1272,2.1,52396,14,15211,4,14448,3.8,22847,6.3,25760,6.6,153718,40.6,20154,5.5,9754,2.5,13920,6.7,41615,11,28848,18.9,8885,2.4,11330,3.1,1894,0.5,10096,4.8
AL,Alabama,1000,267,4.7,305,5.3,729,22.6,112,3.9,19,2.1,948,16.3,232,3.8,228,3.8,66,7.5,441,7.2,2980,49,275,4.7,179,3,221,6.6,684,11.5,495,21.7,143,2.5,204,3.6,28,0.5,102,3.1
AK,Alaska,2900,21,4.4,23,3.5,60,17.8,15, ,15, ,84,14.4,34,6,27,4.3,177,7.5,34,4.8,259,42.5,41,7.3,15, ,24,6.8,65,10.4,35,14.1,17,3.1,30,4.5,15, ,15, 
AZ,Arizona,4000,359,4.3,332,4.1,823,19,87,2.3,16,1.2,1022,12.5,303,3.6,313,3.7,325,7.4,543,6.3,2932,34.5,399,4.8,164,1.9,306,6.8,867,10.1,643,17.1,208,2.6,213,2.6,33,0.4,181,4
AR,Arkansas,5000,158,4.4,197,5.7,394,20.1,57,3.6,16,2.7,595,16.5,171,4.6,165,4.5,542,7.3,256,6.8,2124,57.1,167,4.7,133,3.6,143,7.6,372,10.2,290,19.4,92,2.5,97,2.7,20,0.6,89,4.6
CA,California,6000,1609,3.9,1826,4.4,4472,19.6,498,2.3,151,2,5445,13,1347,3.2,1421,3.4,177,7.2,3357,7.8,12381,30,2169,5.3,1076,2.5,1594,7,4242,10.2,3339,19.6,941,2.3,1637,4,281,0.7,1127,4.9
CO,Colorado,8000,203,3.7,238,4.1,582,19,45,1.5,20,1.9,670,11.9,229,4,202,3.5,60,7.1,350,5.7,1546,27.7,243,4.5,122,2,222,7.2,502,8.8,465,20.7,175,3.1,134,2.4,27,0.5,130,4.1
CT,Connecticut,9000,227,4.9,212,4.8,432,17.2,24,1,15, ,536,11.7,164,3.5,146,3.2,244,7.1,291,6.2,1568,34.7,257,5.7,95,2.1,170,6.7,485,10.6,327,17.3,90,2,137,3.2,23,0.5,116,4.5
DE,Delaware,10000,63,5.3,38,3.1,143,21.1,15, ,15, ,158,13.1,39,3.4,47,3.7,240,7.1,78,6.1,561,46.5,56,4.8,28,2.5,57,8.9,151,12.5,76,14.9,37,3.1,25,2,15, ,54,7.6
DC,District of Columbia,11001,29,4.6,15, ,102,28.5,15, ,15, ,110,16.6,23,3.7,19,2.8,967,6.9,56,8.6,204,31.9,23,3.8,20,3,34,9.9,91,13.8,64,27.4,15, ,31,4.8,15, ,29,8.2
FL,Florida,12000,1255,4.1,1181,4.3,2856,19,288,2.2,87,2.6,3699,12.7,1120,3.8,1026,3.5,225,6.8,1942,6.5,11931,40,1532,5.2,778,2.6,917,5.8,3125,10.5,2190,16.3,752,2.7,751,2.6,132,0.4,707,4.4
GA,Georgia,13000,467,4.9,446,4.2,1241,21.3,133,2.4,49,2.4,1606,15.6,375,3.5,404,4,806,6.8,693,6.3,4448,42.2,561,5.7,311,2.9,413,7,1143,10.9,804,21.1,231,2.3,371,3.6,45,0.4,281,4.7
HI,Hawaii,15000,59,3.1,43,2.5,180,19,15, ,15, ,190,10.5,56,3,48,2.6,464,6.7,150,8.2,589,31.9,86,4.6,44,2.4,40,4.1,219,11.6,126,15.4,33,1.6,73,4.2,15, ,51,5.6
